,food,ndbList,ndbNumber,group,measures,name,nutrient_id,unit,value
0,watermelon,0,09326,Proximates,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '140.83'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '139.00'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '4131.71'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '261.55'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '111.57'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '256.06'}]",Water,255,g,91.45
1,watermelon,0,09326,Proximates,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '46'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '46'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '1355'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '86'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '37'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '84'}]",Energy,208,kcal,30
2,watermelon,0,09326,Proximates,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.94'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.93'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '27.56'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '1.74'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.74'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '1.71'}]",Protein,203,g,0.61
3,watermelon,0,09326,Proximates,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.23'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.23'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '6.78'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.43'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.18'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.42'}]",Total lipid (fat),204,g,0.15
4,watermelon,0,09326,Proximates,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '11.63'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '11.48'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '341.11'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '21.59'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '9.21'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '21.14'}]","Carbohydrate, by difference",205,g,7.55
5,watermelon,0,09326,Proximates,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.6'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.6'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '18.1'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '1.1'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.5'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '1.1'}]","Fiber, total dietary",291,g,0.4
6,watermelon,0,09326,Proximates,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '9.55'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '9.42'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '280.12'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '17.73'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '7.56'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '17.36'}]","Sugars, total",269,g,6.20
7,watermelon,0,09326,Minerals,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '11'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '11'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '316'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '20'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '9'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '20'}]","Calcium, Ca",301,mg,7
8,watermelon,0,09326,Minerals,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.37'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.36'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '10.84'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.69'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.29'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.67'}]","Iron, Fe",303,mg,0.24
9,watermelon,0,09326,Minerals,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '15'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '15'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '452'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '29'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '12'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '28'}]","Magnesium, Mg",304,mg,10
